type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2019-05-07 18:57:03,-22.65376913,-45.19775236,12,3238.000,,88.940,49,10,18,,
T,2019-05-07 18:57:04,-22.65325054,-45.19710140,12,3239.000,,88.950,49,13,19,,
T,2019-05-07 18:57:05,-22.65272441,-45.19644877,12,3239.000,,89.010,49,13,18,,
T,2019-05-07 18:57:06,-22.65217784,-45.19579867,12,3239.000,,89.180,49,11,16,,
T,2019-05-07 18:57:07,-22.65165887,-45.19515859,11,3238.000,,88.900,49,14,18,,
T,2019-05-07 18:57:08,-22.65113050,-45.19450303,12,3240.000,,89.030,49,14,19,,
T,2019-05-07 18:57:09,-22.65057435,-45.19384064,11,3239.000,,89.500,49,13,18,,
T,2019-05-07 18:57:10,-22.65007786,-45.19320075,11,3238.000,,88.970,49,14,19,,
T,2019-05-07 18:57:11,-22.64956717,-45.19252281,12,3238.000,,89.170,49,13,19,,
T,2019-05-07 18:57:12,-22.64904315,-45.19186673,12,3240.000,,89.300,49,13,20,,
T,2019-05-07 18:57:13,-22.64848885,-45.19120006,12,3239.000,,89.650,49,12,20,,
T,2019-05-07 18:57:14,-22.64796624,-45.19052258,13,3239.000,,89.720,50,12,20,,
T,2019-05-07 18:57:15,-22.64746768,-45.18988205,12,3239.000,,89.340,50,10,18,,
T,2019-05-07 18:57:16,-22.64694484,-45.18922062,12,3239.000,,89.330,50,10,18,,
T,2019-05-07 18:57:17,-22.64641836,-45.18856983,12,3242.000,,89.480,50,12,19,,
T,2019-05-07 18:57:18,-22.64586809,-45.18789971,11,3242.000,,89.750,50,10,15,,
T,2019-05-07 18:57:19,-22.64534350,-45.18723487,12,3242.000,,89.740,50,10,15,,
T,2019-05-07 18:57:20,-22.64480277,-45.18656563,11,3245.000,,89.070,50,14,19,,
T,2019-05-07 18:57:21,-22.64428702,-45.18591735,11,3246.000,,88.980,50,13,16,,
T,2019-05-07 18:57:22,-22.64378043,-45.18526319,11,3247.000,,89.190,50,16,19,,
T,2019-05-07 18:57:23,-22.64327725,-45.18460472,11,3247.000,,89.250,50,16,19,,
T,2019-05-07 18:57:24,-22.64276984,-45.18394531,12,3248.000,,89.350,50,14,18,,
T,2019-05-07 18:57:25,-22.64224674,-45.18327844,11,3249.000,,89.530,50,14,19,,
T,2019-05-07 18:57:26,-22.64172947,-45.18260658,11,3248.000,,89.680,50,13,19,,
T,2019-05-07 18:57:27,-22.64120804,-45.18195511,11,3249.000,,89.700,50,13,19,,
T,2019-05-07 18:57:28,-22.64069454,-45.18127708,11,3248.000,,89.770,50,14,20,,
T,2019-05-07 18:57:29,-22.64017803,-45.18060855,11,3250.000,,89.820,50,14,20,,
T,2019-05-07 18:57:30,-22.63966037,-45.17993851,11,3252.000,,89.760,50,10,16,,
T,2019-05-07 18:57:31,-22.63914672,-45.17927198,11,3252.000,,89.670,51,13,20,,
T,2019-05-07 18:57:32,-22.63863253,-45.17859868,12,3252.000,,89.660,51,12,20,,
T,2019-05-07 18:57:33,-22.63811471,-45.17792102,11,3253.000,,89.530,51,11,17,,
T,2019-05-07 18:57:34,-22.63761596,-45.17724719,11,3255.000,,89.310,51,13,19,,
T,2019-05-07 18:57:35,-22.63711196,-45.17657300,11,3257.000,,89.220,51,14,19,,
T,2019-05-07 18:57:36,-22.63661179,-45.17590226,11,3258.000,,88.970,52,13,19,,
T,2019-05-07 18:57:37,-22.63611146,-45.17522561,11,3259.000,,88.960,52,13,19,,
T,2019-05-07 18:57:38,-22.63561465,-45.17456062,11,3260.000,,88.840,52,10,17,,
T,2019-05-07 18:57:39,-22.63511178,-45.17388254,11,3261.000,,88.820,52,10,17,,
T,2019-05-07 18:57:41,-22.63412142,-45.17252961,11,3263.000,,88.810,52,15,20,,
T,2019-05-07 18:57:42,-22.63362580,-45.17184790,11,3263.000,,88.820,52,12,17,,
T,2019-05-07 18:57:43,-22.63313299,-45.17116675,12,3263.000,,88.810,52,12,17,,
T,2019-05-07 18:57:44,-22.63263424,-45.17047778,11,3263.000,,89.110,52,14,20,,
T,2019-05-07 18:57:45,-22.63214392,-45.16978439,11,3262.000,,89.260,52,11,19,,
T,2019-05-07 18:57:46,-22.63165482,-45.16908791,11,3262.000,,89.580,53,11,19,,
T,2019-05-07 18:57:47,-22.63116415,-45.16839577,11,3262.000,,89.570,53,11,19,,
T,2019-05-07 18:57:48,-22.63068140,-45.16769266,11,3262.000,,89.720,53,11,20,,
T,2019-05-07 18:57:49,-22.63019752,-45.16699016,11,3262.000,,89.870,53,10,17,,
T,2019-05-07 18:57:50,-22.62971258,-45.16629581,11,3264.000,,89.850,53,13,19,,
T,2019-05-07 18:57:51,-22.62922775,-45.16559559,11,3264.000,,89.840,53,13,19,,
T,2019-05-07 18:57:52,-22.62874105,-45.16489060,11,3266.000,,89.770,54,10,16,,
T,2019-05-07 18:57:53,-22.62825825,-45.16419514,11,3269.000,,89.840,54,14,20,,
T,2019-05-07 18:57:54,-22.62778670,-45.16349183,10,3269.000,,89.710,54,13,19,,
T,2019-05-07 18:57:55,-22.62731486,-45.16277981,10,3269.000,,89.620,54,14,20,,
T,2019-05-07 18:57:56,-22.62684639,-45.16206117,11,3270.000,,89.570,54,13,20,,
T,2019-05-07 18:57:57,-22.62638024,-45.16136973,11,3271.000,,89.360,54,13,20,,
T,2019-05-07 18:57:58,-22.62590659,-45.16066651,11,3271.000,,89.360,54,11,20,,
T,2019-05-07 18:57:59,-22.62543087,-45.15995226,11,3271.000,,89.440,54,11,19,,
T,2019-05-07 18:58:00,-22.62495457,-45.15925566,11,3273.000,,89.460,54,10,19,,
T,2019-05-07 18:58:01,-22.62447872,-45.15855422,11,3273.000,,89.510,54,11,19,,
T,2019-05-07 18:58:02,-22.62400689,-45.15785016,11,3271.000,,89.580,54,11,18,,
T,2019-05-07 18:58:03,-22.62352651,-45.15714646,11,3270.000,,89.710,54,12,19,,
T,2019-05-07 18:58:04,-22.62304804,-45.15644525,11,3270.000,,89.880,54,12,19,,
T,2019-05-07 18:58:05,-22.62256530,-45.15572193,11,3268.000,,90.140,54,13,20,,
T,2019-05-07 18:58:06,-22.62208182,-45.15502076,11,3267.000,,90.290,54,11,18,,
T,2019-05-07 18:58:07,-22.62160164,-45.15431733,11,3266.000,,90.210,54,11,19,,
T,2019-05-07 18:58:08,-22.62112348,-45.15360397,11,3266.000,,90.230,54,12,20,,
T,2019-05-07 18:58:09,-22.62064414,-45.15289479,12,3266.000,,90.220,54,12,20,,
T,2019-05-07 18:58:10,-22.62015418,-45.15218280,12,3267.000,,90.060,54,10,19,,
T,2019-05-07 18:58:11,-22.61967684,-45.15148015,12,3266.000,,90.010,54,10,19,,
T,2019-05-07 18:58:12,-22.61919488,-45.15077581,13,3266.000,,90.000,54,8,19,,
T,2019-05-07 18:58:13,-22.61873767,-45.15006940,12,3267.000,,89.900,54,9,19,,
T,2019-05-07 18:58:14,-22.61825382,-45.14936760,13,3267.000,,89.860,54,10,19,,
T,2019-05-07 18:58:15,-22.61777382,-45.14866347,14,3267.000,,89.850,54,11,19,,
T,2019-05-07 18:58:16,-22.61728926,-45.14796783,14,3268.000,,89.670,54,12,20,,
T,2019-05-07 18:58:17,-22.61681737,-45.14724628,13,3271.000,,89.880,54,13,21,,
T,2019-05-07 18:58:18,-22.61631310,-45.14656555,12,3272.000,,89.670,53,14,21,,
T,2019-05-07 18:58:19,-22.61582831,-45.14585735,12,3273.000,,89.830,53,15,21,,
T,2019-05-07 18:58:20,-22.61534743,-45.14515879,11,3272.000,,89.990,53,15,21,,
T,2019-05-07 18:58:21,-22.61486157,-45.14445729,11,3273.000,,89.980,53,15,21,,
T,2019-05-07 18:58:22,-22.61437047,-45.14375760,11,3274.000,,90.170,53,15,21,,
T,2019-05-07 18:58:23,-22.61387397,-45.14305970,10,3275.000,,90.240,53,15,21,,
T,2019-05-07 18:58:24,-22.61337851,-45.14237002,10,3276.000,,90.240,53,15,21,,
T,2019-05-07 18:58:25,-22.61289802,-45.14165255,10,3274.000,,90.560,53,17,21,,
T,2019-05-07 18:58:26,-22.61240752,-45.14095514,10,3274.000,,90.640,53,17,21,,
T,2019-05-07 18:58:27,-22.61190579,-45.14025157,10,3275.000,,90.770,53,17,21,,
T,2019-05-07 18:58:28,-22.61141576,-45.13954584,10,3275.000,,90.830,53,17,21,,
T,2019-05-07 18:58:29,-22.61092901,-45.13884434,11,3276.000,,90.890,54,17,21,,
T,2019-05-07 18:58:30,-22.61044394,-45.13813352,11,3277.000,,90.710,54,17,21,,
T,2019-05-07 18:58:31,-22.60996290,-45.13742063,11,3277.000,,90.610,54,18,21,,
T,2019-05-07 18:58:32,-22.60948761,-45.13670321,10,3277.000,,90.480,54,19,21,,
T,2019-05-07 18:58:33,-22.60900018,-45.13599245,10,3278.000,,90.550,54,19,21,,
T,2019-05-07 18:58:34,-22.60851336,-45.13528440,10,3280.000,,90.450,54,19,21,,
T,2019-05-07 18:58:35,-22.60802156,-45.13458240,10,3280.000,,90.480,54,19,21,,
T,2019-05-07 18:58:36,-22.60754679,-45.13386015,10,3281.000,,90.440,54,19,21,,
T,2019-05-07 18:58:37,-22.60706349,-45.13315241,10,3280.000,,90.410,54,19,21,,
T,2019-05-07 18:58:38,-22.60658074,-45.13244727,10,3280.000,,90.360,54,19,21,,
T,2019-05-07 18:58:39,-22.60609204,-45.13174591,10,3281.000,,90.320,54,18,21,,
T,2019-05-07 18:58:40,-22.60561253,-45.13104253,10,3282.000,,90.210,54,17,21,,
T,2019-05-07 18:58:41,-22.60512557,-45.13034114,10,3283.000,,90.330,54,17,21,,
T,2019-05-07 18:58:42,-22.60463661,-45.12963914,10,3284.000,,90.310,54,17,21,,
T,2019-05-07 18:58:43,-22.60415288,-45.12893581,10,3285.000,,90.290,54,17,21,,
T,2019-05-07 18:58:44,-22.60366688,-45.12822581,10,3285.000,,90.310,54,16,21,,
T,2019-05-07 18:58:45,-22.60319157,-45.12751397,10,3286.000,,90.280,54,15,21,,
T,2019-05-07 18:58:46,-22.60271028,-45.12680607,10,3286.000,,90.290,54,16,21,,
T,2019-05-07 18:58:47,-22.60222646,-45.12609640,10,3287.000,,90.270,54,15,21,,
T,2019-05-07 18:58:48,-22.60174402,-45.12538780,10,3287.000,,90.200,54,16,21,,
T,2019-05-07 18:58:49,-22.60128068,-45.12467158,10,3286.000,,90.100,54,16,21,,
T,2019-05-07 18:58:50,-22.60079709,-45.12396408,10,3288.000,,89.970,54,16,21,,
T,2019-05-07 18:58:51,-22.60032814,-45.12325928,10,3288.000,,89.660,55,16,21,,
T,2019-05-07 18:58:52,-22.59985121,-45.12255507,10,3289.000,,89.760,55,18,21,,
T,2019-05-07 18:58:53,-22.59937317,-45.12184967,10,3291.000,,89.780,55,18,21,,
T,2019-05-07 18:58:54,-22.59890966,-45.12114023,10,3290.000,,89.820,55,18,21,,
T,2019-05-07 18:58:55,-22.59844110,-45.12042818,10,3290.000,,89.860,55,19,21,,
T,2019-05-07 18:58:56,-22.59796053,-45.11972498,10,3291.000,,90.010,54,19,21,,
T,2019-05-07 18:58:57,-22.59747710,-45.11900847,10,3290.000,,90.200,54,19,21,,
T,2019-05-07 18:58:58,-22.59700039,-45.11830182,11,3291.000,,90.190,54,18,21,,
T,2019-05-07 18:58:59,-22.59653348,-45.11756862,11,3291.000,,90.390,54,18,21,,
T,2019-05-07 18:59:00,-22.59606036,-45.11685101,11,3290.000,,90.520,54,18,21,,
T,2019-05-07 18:59:01,-22.59558092,-45.11613424,11,3291.000,,90.630,54,17,21,,
T,2019-05-07 18:59:02,-22.59510570,-45.11541988,11,3291.000,,90.740,54,17,21,,
T,2019-05-07 18:59:03,-22.59461446,-45.11471417,10,3293.000,,90.850,54,18,21,,
T,2019-05-07 18:59:04,-22.59413008,-45.11400917,10,3293.000,,90.870,54,17,21,,
T,2019-05-07 18:59:05,-22.59364175,-45.11330705,10,3294.000,,90.830,54,16,21,,
T,2019-05-07 18:59:06,-22.59315439,-45.11259520,10,3295.000,,90.830,54,16,21,,
T,2019-05-07 18:59:07,-22.59267198,-45.11188460,10,3295.000,,90.610,54,16,21,,
T,2019-05-07 18:59:08,-22.59218515,-45.11117376,11,3296.000,,90.550,54,16,21,,
T,2019-05-07 18:59:09,-22.59170190,-45.11046858,10,3298.000,,90.420,54,16,21,,
T,2019-05-07 18:59:10,-22.59121807,-45.10975899,10,3299.000,,90.230,54,17,21,,
T,2019-05-07 18:59:11,-22.59073493,-45.10905715,10,3300.000,,90.000,54,17,21,,
T,2019-05-07 18:59:12,-22.59024603,-45.10835164,11,3302.000,,89.830,54,16,21,,
T,2019-05-07 18:59:13,-22.58976430,-45.10764153,11,3304.000,,89.710,54,14,21,,
T,2019-05-07 18:59:14,-22.58927894,-45.10694732,11,3304.000,,89.560,53,14,21,,
T,2019-05-07 18:59:15,-22.58878508,-45.10625752,11,3305.000,,89.660,53,14,21,,
T,2019-05-07 18:59:16,-22.58829124,-45.10556214,11,3306.000,,89.680,53,14,21,,
T,2019-05-07 18:59:17,-22.58779207,-45.10486970,11,3307.000,,89.720,53,12,21,,
T,2019-05-07 18:59:18,-22.58729015,-45.10418585,11,3308.000,,89.740,53,13,21,,
T,2019-05-07 18:59:19,-22.58679158,-45.10349188,11,3308.000,,89.910,52,13,21,,
T,2019-05-07 18:59:20,-22.58629563,-45.10279173,11,3309.000,,89.970,52,13,21,,
T,2019-05-07 18:59:21,-22.58579472,-45.10209549,11,3310.000,,90.070,52,13,21,,
T,2019-05-07 18:59:22,-22.58528232,-45.10141461,11,3310.000,,90.080,52,12,21,,
T,2019-05-07 18:59:23,-22.58477284,-45.10073141,11,3310.000,,90.130,52,13,21,,
T,2019-05-07 18:59:24,-22.58425746,-45.10005007,11,3311.000,,90.190,52,13,21,,
T,2019-05-07 18:59:25,-22.58374809,-45.09936687,11,3312.000,,90.240,52,13,21,,
T,2019-05-07 18:59:26,-22.58323776,-45.09869387,11,3312.000,,90.120,52,13,21,,
T,2019-05-07 18:59:27,-22.58275115,-45.09797416,11,3311.000,,90.290,52,14,21,,
T,2019-05-07 18:59:28,-22.58227320,-45.09724634,11,3310.000,,90.180,52,17,21,,
T,2019-05-07 18:59:29,-22.58178197,-45.09653105,10,3311.000,,90.220,52,17,21,,
T,2019-05-07 18:59:30,-22.58129166,-45.09583955,10,3312.000,,90.370,53,19,21,,
T,2019-05-07 18:59:31,-22.58081975,-45.09512065,10,3313.000,,90.540,55,19,21,,
T,2019-05-07 18:59:32,-22.58037948,-45.09437048,10,3312.000,,90.720,57,19,21,,
T,2019-05-07 18:59:33,-22.57994909,-45.09362135,10,3313.000,,90.570,59,19,21,,
T,2019-05-07 18:59:34,-22.57954686,-45.09285435,10,3312.000,,90.870,61,18,21,,
T,2019-05-07 18:59:35,-22.57916220,-45.09207179,10,3313.000,,91.110,63,19,21,,
T,2019-05-07 18:59:36,-22.57881135,-45.09127358,10,3313.000,,90.990,65,19,21,,
T,2019-05-07 18:59:37,-22.57846428,-45.09046945,10,3313.000,,91.460,65,18,21,,
T,2019-05-07 18:59:38,-22.57812428,-45.08966908,11,3312.000,,91.090,65,18,21,,
T,2019-05-07 18:59:39,-22.57781042,-45.08884083,12,3312.000,,91.700,67,18,21,,
T,2019-05-07 18:59:40,-22.57750280,-45.08799437,12,3313.000,,92.940,67,18,21,,
T,2019-05-07 18:59:41,-22.57737713,-45.08712491,12,3312.000,,92.560,71,18,21,,
T,2019-05-07 18:59:42,-22.57713994,-45.08623904,12,3313.000,,93.700,73,18,21,,
T,2019-05-07 18:59:43,-22.57693346,-45.08535665,12,3314.000,,94.060,74,17,21,,
T,2019-05-07 18:59:44,-22.57690092,-45.08445462,12,3311.000,,93.500,77,16,21,,
T,2019-05-07 18:59:45,-22.57697546,-45.08357994,10,3309.000,,91.730,84,16,21,,
T,2019-05-07 18:59:46,-22.57694630,-45.08268581,10,3308.000,,91.720,86,17,21,,
T,2019-05-07 18:59:47,-22.57690640,-45.08179851,10,3308.000,,91.730,87,18,21,,
T,2019-05-07 18:59:48,-22.57692068,-45.08090593,4,3307.000,,91.670,90,18,21,,
T,2019-05-07 18:59:49,-22.57694989,-45.08001583,4,3307.000,,91.680,91,18,21,,
T,2019-05-07 18:59:50,-22.57703902,-45.07913015,4,3306.000,,91.550,95,18,21,,
T,2019-05-07 18:59:51,-22.57714759,-45.07824639,3,3304.000,,91.630,97,17,21,,
T,2019-05-07 18:59:52,-22.57726632,-45.07736815,3,3304.000,,91.350,98,17,21,,
T,2019-05-07 18:59:53,-22.57741674,-45.07650215,3,3304.000,,91.170,100,16,21,,
T,2019-05-07 18:59:54,-22.57758336,-45.07563939,3,3305.000,,90.810,102,16,21,,
T,2019-05-07 18:59:55,-22.57777477,-45.07477895,3,3306.000,,91.030,103,16,21,,
T,2019-05-07 18:59:56,-22.57800991,-45.07393611,3,3306.000,,90.770,106,18,21,,
T,2019-05-07 18:59:57,-22.57825442,-45.07309969,3,3307.000,,90.390,107,18,21,,
T,2019-05-07 18:59:58,-22.57852550,-45.07228871,3,3308.000,,89.580,109,18,21,,
T,2019-05-07 18:59:59,-22.57882097,-45.07146721,3,3309.000,,89.130,111,18,21,,
T,2019-05-07 19:00:00,-22.57913922,-45.07066681,3,3310.000,,88.590,112,19,21,,
T,2019-05-07 19:00:01,-22.57946559,-45.06988183,3,3311.000,,88.240,114,19,21,,
T,2019-05-07 19:00:02,-22.57980610,-45.06911027,3,3313.000,,87.970,116,18,21,,
T,2019-05-07 19:00:03,-22.58016804,-45.06834456,3,3313.000,,87.830,117,18,21,,
T,2019-05-07 19:00:04,-22.58054159,-45.06759382,3,3312.000,,87.960,118,18,21,,
T,2019-05-07 19:00:05,-22.58094337,-45.06686147,3,3309.000,,88.110,120,19,21,,
T,2019-05-07 19:00:06,-22.58136687,-45.06612605,3,3304.000,,88.400,121,19,21,,
T,2019-05-07 19:00:07,-22.58179566,-45.06540285,3,3299.000,,88.840,123,19,21,,
T,2019-05-07 19:00:08,-22.58224931,-45.06468621,3,3294.000,,89.330,124,19,21,,
T,2019-05-07 19:00:09,-22.58272773,-45.06398175,3,3288.000,,89.800,126,19,21,,
T,2019-05-07 19:00:10,-22.58322038,-45.06329435,3,3285.000,,90.110,128,16,18,,
T,2019-05-07 19:00:11,-22.58373809,-45.06261460,3,3281.000,,90.240,130,17,18,,
T,2019-05-07 19:00:12,-22.58425138,-45.06195571,4,3278.000,,89.080,130,19,20,,
T,2019-05-07 19:00:13,-22.58477713,-45.06130047,6,3279.000,,89.280,131,14,16,,
T,2019-05-07 19:00:14,-22.58535976,-45.06067535,8,3279.000,,90.060,133,17,19,,
T,2019-05-07 19:00:15,-22.58604237,-45.06020610,6,3275.000,,89.420,141,17,20,,
T,2019-05-07 19:00:16,-22.58669370,-45.05969260,5,3274.000,,88.870,145,16,19,,
T,2019-05-07 19:00:17,-22.58737104,-45.05921168,5,3272.000,,88.210,146,15,19,,
T,2019-05-07 19:00:18,-22.58806100,-45.05880589,5,3273.000,,87.630,152,14,18,,
T,2019-05-07 19:00:19,-22.58875813,-45.05844186,5,3272.000,,87.060,155,14,20,,
T,2019-05-07 19:00:20,-22.58948809,-45.05809565,4,3271.000,,86.740,158,13,20,,
T,2019-05-07 19:00:21,-22.59021113,-45.05777246,5,3270.000,,86.730,158,14,20,,
T,2019-05-07 19:00:22,-22.59095370,-45.05755077,4,3270.000,,85.750,162,11,17,,
T,2019-05-07 19:00:23,-22.59169625,-45.05731107,5,3271.000,,85.390,163,10,17,,
T,2019-05-07 19:00:24,-22.59244573,-45.05708376,8,3271.000,,85.910,164,11,18,,
T,2019-05-07 19:00:25,-22.59319033,-45.05685156,13,3271.000,,85.890,164,11,18,,
T,2019-05-07 19:00:26,-22.59396574,-45.05690208,6,3266.000,,84.660,174,11,17,,
T,2019-05-07 19:00:27,-22.59473108,-45.05684482,6,3265.000,,84.530,176,13,18,,
T,2019-05-07 19:00:28,-22.59549077,-45.05683862,6,3259.000,,84.230,179,14,19,,
T,2019-05-07 19:00:29,-22.59625087,-45.05682486,8,3258.000,,84.220,179,13,19,,
T,2019-05-07 19:00:30,-22.59700264,-45.05691905,6,3256.000,,83.460,185,10,17,,
T,2019-05-07 19:00:31,-22.59775494,-45.05701039,6,3256.000,,83.150,187,12,18,,
T,2019-05-07 19:00:32,-22.59849253,-45.05714931,6,3254.000,,83.110,189,11,17,,
T,2019-05-07 19:00:33,-22.59922761,-45.05727814,8,3254.000,,83.010,189,11,17,,
T,2019-05-07 19:00:34,-22.59995150,-45.05745628,8,3250.000,,82.760,193,12,18,,
T,2019-05-07 19:00:35,-22.60068424,-45.05768985,9,3249.000,,82.880,195,12,18,,
T,2019-05-07 19:00:36,-22.60140973,-45.05793530,11,3250.000,,83.400,196,12,20,,
T,2019-05-07 19:00:37,-22.60197755,-45.05845840,10,3249.000,,80.950,206,11,18,,
T,2019-05-07 19:00:38,-22.60263242,-45.05880262,10,3249.000,,80.170,207,10,18,,
T,2019-05-07 19:00:39,-22.60324425,-45.05916171,10,3245.000,,79.920,208,12,19,,
T,2019-05-07 19:00:40,-22.60381914,-45.05960710,9,3242.000,,80.000,215,11,19,,
T,2019-05-07 19:00:41,-22.60440849,-45.06005637,10,3242.000,,79.990,215,11,19,,
T,2019-05-07 19:00:42,-22.60495508,-45.06054654,8,3239.000,,80.290,218,11,18,,
T,2019-05-07 19:00:43,-22.60545569,-45.06115915,8,3234.000,,79.040,225,13,19,,
T,2019-05-07 19:00:44,-22.60596477,-45.06169742,8,3234.000,,79.030,225,14,19,,
T,2019-05-07 19:00:45,-22.60640075,-45.06229286,6,3237.000,,78.460,229,12,17,,
T,2019-05-07 19:00:46,-22.60686760,-45.06286635,8,3237.000,,78.450,229,12,17,,
T,2019-05-07 19:00:47,-22.60731801,-45.06345773,5,3236.000,,78.490,231,14,19,,
T,2019-05-07 19:00:48,-22.60776166,-45.06405580,5,3237.000,,78.380,231,12,18,,
T,2019-05-07 19:00:49,-22.60821126,-45.06464929,6,3235.000,,78.480,231,13,19,,
T,2019-05-07 19:00:50,-22.60866994,-45.06524914,5,3235.000,,78.360,231,12,18,,
T,2019-05-07 19:00:51,-22.60909729,-45.06583943,6,3237.000,,78.110,231,13,19,,
T,2019-05-07 19:00:52,-22.60953708,-45.06643296,8,3237.000,,78.110,231,12,19,,
T,2019-05-07 19:00:53,-22.60998109,-45.06705271,6,3237.000,,78.080,232,12,19,,
T,2019-05-07 19:00:54,-22.61040193,-45.06765105,6,3238.000,,77.890,232,12,19,,
T,2019-05-07 19:00:55,-22.61084072,-45.06824943,6,3238.000,,77.960,232,10,17,,
T,2019-05-07 19:00:56,-22.61127623,-45.06884476,8,3238.000,,77.960,232,10,17,,
T,2019-05-07 19:00:57,-22.61170571,-45.06945182,5,3238.000,,77.920,232,12,19,,
T,2019-05-07 19:00:58,-22.61214281,-45.07004747,5,3239.000,,77.860,232,12,19,,
T,2019-05-07 19:00:59,-22.61256511,-45.07064102,5,3241.000,,77.820,232,12,19,,
T,2019-05-07 19:01:00,-22.61299153,-45.07124136,4,3241.000,,77.920,233,12,19,,
T,2019-05-07 19:01:01,-22.61342790,-45.07183456,5,3240.000,,77.700,232,13,19,,
T,2019-05-07 19:01:02,-22.61385457,-45.07242493,4,3242.000,,77.500,232,15,20,,
T,2019-05-07 19:01:03,-22.61427376,-45.07302230,4,3243.000,,77.400,233,15,20,,
T,2019-05-07 19:01:04,-22.61469591,-45.07361635,4,3244.000,,77.300,233,17,20,,
T,2019-05-07 19:01:05,-22.61512053,-45.07421413,3,3244.000,,77.240,233,18,20,,
T,2019-05-07 19:01:06,-22.61554802,-45.07480948,3,3246.000,,77.020,233,18,20,,
T,2019-05-07 19:01:07,-22.61597182,-45.07540433,3,3248.000,,77.010,233,18,20,,
T,2019-05-07 19:01:08,-22.61639101,-45.07600276,3,3249.000,,76.780,233,18,20,,
T,2019-05-07 19:01:09,-22.61681098,-45.07659783,3,3251.000,,76.690,233,18,20,,
T,2019-05-07 19:01:10,-22.61722242,-45.07719005,3,3251.000,,76.580,233,18,20,,
T,2019-05-07 19:01:11,-22.61763355,-45.07778646,4,3252.000,,76.560,233,18,20,,
T,2019-05-07 19:01:12,-22.61804624,-45.07838339,5,3252.000,,76.530,233,18,20,,
T,2019-05-07 19:01:13,-22.61845181,-45.07898905,4,3252.000,,76.630,234,18,20,,
T,2019-05-07 19:01:14,-22.61884652,-45.07960345,3,3252.000,,76.740,234,18,20,,
T,2019-05-07 19:01:15,-22.61924971,-45.08021611,4,3251.000,,76.770,234,18,20,,
T,2019-05-07 19:01:16,-22.61964461,-45.08083580,4,3250.000,,76.900,235,18,20,,
T,2019-05-07 19:01:17,-22.62003861,-45.08144870,4,3248.000,,77.010,235,16,20,,
T,2019-05-07 19:01:18,-22.62044122,-45.08205670,4,3249.000,,77.090,235,17,20,,
T,2019-05-07 19:01:19,-22.62084463,-45.08267322,11,3248.000,,77.170,235,17,20,,
T,2019-05-07 19:01:20,-22.62124111,-45.08328926,11,3249.000,,77.260,235,16,20,,
T,2019-05-07 19:01:21,-22.62163789,-45.08391212,11,3249.000,,77.360,235,15,20,,
T,2019-05-07 19:01:22,-22.62200291,-45.08455293,11,3249.000,,77.470,236,15,20,,
T,2019-05-07 19:01:23,-22.62240928,-45.08516066,11,3248.000,,77.640,236,18,20,,
T,2019-05-07 19:01:24,-22.62282795,-45.08577132,11,3247.000,,77.710,236,17,20,,
T,2019-05-07 19:01:25,-22.62324123,-45.08638178,11,3245.000,,77.730,235,17,20,,
T,2019-05-07 19:01:26,-22.62364078,-45.08700189,11,3246.000,,77.920,236,17,20,,
T,2019-05-07 19:01:27,-22.62404169,-45.08762477,11,3246.000,,77.830,236,18,20,,
T,2019-05-07 19:01:28,-22.62442287,-45.08826090,11,3247.000,,77.840,236,18,20,,
T,2019-05-07 19:01:29,-22.62479146,-45.08890309,11,3249.000,,77.610,237,15,20,,
T,2019-05-07 19:01:30,-22.62518196,-45.08953175,11,3250.000,,77.200,237,15,20,,
T,2019-05-07 19:01:31,-22.62555633,-45.09014941,11,3251.000,,76.430,237,15,20,,
T,2019-05-07 19:01:32,-22.62596190,-45.09074243,10,3254.000,,75.810,235,16,20,,
T,2019-05-07 19:01:33,-22.62635427,-45.09134406,10,3256.000,,75.730,235,17,20,,
T,2019-05-07 19:01:34,-22.62674567,-45.09194905,10,3256.000,,75.850,235,17,20,,
T,2019-05-07 19:01:35,-22.62714303,-45.09255904,10,3255.000,,75.900,235,18,20,,
T,2019-05-07 19:01:36,-22.62753089,-45.09317082,11,3254.000,,76.010,235,18,20,,
T,2019-05-07 19:01:37,-22.62792148,-45.09377805,11,3254.000,,76.260,235,17,20,,
T,2019-05-07 19:01:38,-22.62833403,-45.09437740,10,3252.000,,76.550,235,16,20,,
T,2019-05-07 19:01:39,-22.62873923,-45.09498033,10,3252.000,,76.540,235,16,20,,
T,2019-05-07 19:01:40,-22.62913764,-45.09558066,10,3251.000,,76.610,235,16,20,,
T,2019-05-07 19:01:41,-22.62954408,-45.09618399,10,3251.000,,76.560,235,16,20,,
T,2019-05-07 19:01:42,-22.62995142,-45.09678921,10,3252.000,,76.460,234,16,20,,
T,2019-05-07 19:01:43,-22.63035532,-45.09739257,10,3252.000,,76.320,234,16,20,,
T,2019-05-07 19:01:44,-22.63076272,-45.09798887,10,3251.000,,76.100,234,16,20,,
T,2019-05-07 19:01:45,-22.63116919,-45.09858213,10,3251.000,,76.050,234,17,20,,
T,2019-05-07 19:01:46,-22.63157520,-45.09917904,10,3250.000,,76.020,233,17,20,,
T,2019-05-07 19:01:47,-22.63198911,-45.09976834,10,3249.000,,75.900,233,17,20,,
